image_id,gold_cls,rubric_clause,uncertain
502,diagram,D2,0
3284,diagram,D1,0
5608,data_plot,P1,0
4310,data_plot,P2,0
4331,diagram,D1,0
2857,diagram,D1,0
2114,diagram,D1,0
3088,data_plot,P3,0
3748,diagram,D1,0
4688,photo,H1,0
2631,data_plot,P1,0
4163,data_plot,P1,0
3934,data_plot,P1,0
4261,diagram,D1,0
5624,diagram,D1,1
5687,data_plot,P1,0
1675,data_plot,P3,1
173,data_plot,P1,0
3756,data_plot,P1,0
248,data_plot,P1,0
5342,data_plot,P1,0
3063,diagram,D2,1
1791,data_plot,P3,0
2013,diagram,D1,0
3283,diagram,D2,0
2887,data_plot,P1,0
2118,diagram,D1,0
1595,diagram,D3,0
5814,data_plot,P1,0
4777,diagram,D1,0
3027,diagram,D1,0
1158,data_plot,P3,0
4443,data_plot,P1,0
3654,data_plot,P1,0
3736,data_plot,P1,0
4770,diagram,D1,0
3062,data_plot,P3,0
2955,diagram,D1,0
2116,diagram,D1,0
5482,data_plot,P1,1
597,diagram,D1,0
983,data_plot,P1,0
2056,data_plot,P1,0
2626,diagram,D3,1
3897,fragment_junk,F2,0
1657,fragment_junk,F1,0
170,data_plot,P1,0
3796,diagram,D1,0
1390,photo,H1,0
2058,data_plot,P1,0
1674,photo,H1,0
1393,diagram,D1,0
3912,data_plot,P1,0
1593,data_plot,P1,0
5741,diagram,D2,0
2057,data_plot,P1,0
4319,data_plot,P1,0
5812,diagram,D2,0
3746,diagram,D1,0
2003,diagram,D1,0
4330,diagram,D1,0
4680,diagram,D1,0
2105,photo,H1,1
5683,diagram,D2,0
2532,diagram,D1,0
2892,data_plot,P1,0
5678,diagram,D1,0
2012,diagram,D1,0
3953,diagram,D2,0
3911,data_plot,P1,0
5534,data_plot,P1,0
3065,data_plot,P1,0
4192,diagram,D1,0
5340,diagram,D1,1
4326,diagram,D1,0
4164,data_plot,P1,0
5820,data_plot,P1,0
2583,diagram,D1,0
2010,diagram,D1,0
3377,diagram,D1,0
4699,fragment_junk,F3,0
4776,photo,H1,0
5009,diagram,D1,1
4877,diagram,D1,0
4491,diagram,D1,0
2350,diagram,D1,0
1786,diagram,D1,0
5827,data_plot,P1,0
4612,data_plot,P1,0
3734,data_plot,P1,0
5712,data_plot,P1,0
2330,data_plot,P1,1
3735,data_plot,P1,0
5239,diagram,D1,0
5445,photo,H1,0
2859,diagram,D1,0
1394,data_plot,P1,0
4838,fragment_junk,F2,0
4915,diagram,D1,0
4606,diagram,D1,0
5774,diagram,D1,0
2008,diagram,D1,0
2106,photo,H1,0
2853,diagram,D1,0
2009,diagram,D1,0
4308,data_plot,P2,1
1263,diagram,D2,1
697,diagram,D1,0
4193,data_plot,P3,0
5744,data_plot,P1,0
3732,diagram,D2,0
1259,diagram,D2,0
3487,data_plot,P1,0
3655,data_plot,P1,0
4624,data_plot,P1,0
3747,diagram,D1,0
3144,data_plot,P1,0
1591,data_plot,P1,1
4327,diagram,D1,0
1364,diagram,D1,0
1794,diagram,D3,0
3055,photo,H1,0
5730,data_plot,P1,1
3383,diagram,D3,0
3774,data_plot,P1,0
3299,diagram,D1,0
3318,data_plot,P1,0
1573,diagram,D1,0
2838,data_plot,P1,0
1391,photo,H1,0
240,diagram,D1,0
1262,diagram,D1,0
3800,data_plot,P1,0
5240,diagram,D1,0
2850,diagram,D1,0
4439,data_plot,P1,0
981,diagram,D1,0
1016,data_plot,P2,1
3067,diagram,D1,0
5733,data_plot,P1,0
5315,data_plot,P3,0
2806,diagram,D1,0
1594,photo,H1,0
2226,data_plot,P1,0
4709,diagram,D1,0
5478,data_plot,P1,0
3980,diagram,D1,0
3656,data_plot,P1,0
4328,diagram,D1,0
3512,diagram,D3,0
1389,photo,H1,0
4683,diagram,D1,0
1057,photo,H1,0
4262,diagram,D1,0
3316,diagram,D1,1
985,diagram,D1,0
5314,diagram,D1,0
1966,diagram,D1,0
1023,diagram,D1,0
4611,data_plot,P2,0
715,data_plot,P1,0
1015,diagram,D1,0
2103,photo,H1,1
1018,data_plot,P2,1
3486,data_plot,P1,0
5745,data_plot,P1,0
4311,data_plot,P2,0
4460,data_plot,P1,0
1554,data_plot,P3,0
4775,photo,H1,0
3057,diagram,D1,1
4074,diagram,D1,0
4318,data_plot,P1,0
1540,data_plot,P1,0
1672,photo,H1,1
2225,data_plot,P1,0
5142,diagram,D1,0
4488,diagram,D1,0
5477,data_plot,P1,0
5732,data_plot,P1,0
4701,diagram,D1,1
3983,diagram,D1,0
1731,photo,H1,0
5444,photo,H1,0
2837,photo,H1,0
1798,data_plot,P1,0
4625,data_plot,P2,0
4837,diagram,D1,0
5443,photo,H1,1
2331,data_plot,P1,0
1482,photo,H1,1
5739,data_plot,P1,0
2995,diagram,D1,0
4615,data_plot,P1,0
2250,diagram,D1,0
3653,diagram,D2,0
3317,data_plot,P3,0
4333,data_plot,P1,0
5682,diagram,D1,0
2899,data_plot,P1,0
